,average_price_per_area,price,area,bedrooms,bathrooms,guestroom,prefarea,furnishingstatus
107,1158.888888888889,5215000,4500,4,2,0,0,1
108,1163.2947976878613,4025000,3460,3,2,0,0,0
109,1166.6666666666667,6650000,5700,3,1,1,1,0
110,1173.1225296442688,7420000,6325,3,1,0,0,0
111,1182.983682983683,10150000,8580,4,3,0,1,1
112,1187.1345029239767,8120000,6840,5,1,1,0,0
113,1188.2716049382716,7700000,6480,3,2,0,0,0
114,1191.4893617021276,5600000,4700,4,1,1,0,0
115,1196.5811965811965,4900000,4095,3,1,1,0,1
116,1199.7019374068554,3220000,2684,2,1,0,0,0
117,1200.0,8400000,7000,3,1,0,0,1
118,1201.6666666666667,7210000,6000,3,2,1,0,0
119,1202.2900763358778,7875000,6550,3,1,0,1,0
120,1210.4166666666667,5810000,4800,3,1,0,0,0
121,1213.1376659678547,8680000,7155,3,2,1,0,0
122,1213.3333333333333,3640000,3000,2,1,0,0,0
123,1218.5185185185185,9870000,8100,4,1,1,1,0
124,1225.0,7350000,6000,4,2,1,0,0
125,1225.0,7350000,6000,3,2,1,0,1
126,1225.0,7350000,6000,3,1,0,0,0
127,1232.394366197183,5250000,4260,4,1,0,0,0
128,1232.7044025157234,7840000,6360,3,2,0,1,0
129,1250.0,4550000,3640,3,1,0,0,0
130,1254.1666666666667,7525000,6000,3,2,0,0,0
131,1260.0,7560000,6000,4,2,0,0,0
132,1260.0,7560000,6000,3,2,0,0,1
133,1264.7727272727273,5565000,4400,4,1,0,1,1
134,1288.0,6440000,5000,3,1,0,0,1
135,1305.8103975535169,8540000,6540,4,2,1,1,0
136,1316.0,3290000,2500,2,1,0,0,0
137,1318.3333333333333,7910000,6000,4,2,0,0,1
138,1327.0833333333333,7962500,6000,3,1,1,0,0
139,1334.375,6405000,4800,3,2,1,0,0
140,1338.6454183266933,6720000,5020,3,1,0,1,0
141,1353.3333333333333,4060000,3000,4,1,0,0,1
142,1367.1875,12250000,8960,4,4,0,0,0
143,1368.888888888889,6160000,4500,3,1,0,0,0
144,1378.7878787878788,9100000,6600,4,2,1,1,0
145,1379.2834890965732,8855000,6420,3,2,0,1,1
146,1410.5,8463000,6000,3,2,1,1,1
147,1414.6110056925995,4473000,3162,3,1,0,0,0
148,1421.3740458015268,9310000,6550,4,2,0,1,1
149,1422.2824246528953,4200000,2953,3,1,0,0,0
150,1427.1844660194174,7350000,5150,3,2,0,0,1
151,1430.701754385965,4893000,3420,4,2,0,0,1
152,1446.6666666666667,10850000,7500,3,3,0,1,1
153,1497.2222222222222,3773000,2520,5,2,0,0,0
154,1508.7976539589442,5145000,3410,3,1,0,0,1
155,1527.2727272727273,8400000,5500,4,2,0,1,1
156,1536.5853658536585,6300000,4100,3,2,0,0,1
157,1537.7358490566037,11410000,7420,4,1,1,0,0
158,1600.0,3640000,2275,3,1,0,1,1
159,1608.1081081081081,5950000,3700,4,1,1,0,0
160,1628.6666666666667,12215000,7500,4,2,0,1,0
161,1633.3333333333333,4900000,3000,3,1,0,0,1
162,1653.75,6615000,4000,3,2,0,0,1
163,1697.5,6790000,4000,3,2,0,1,1
164,1699.795081967213,8295000,4880,4,2,0,1,0
165,1704.3478260869565,9800000,5750,3,2,1,1,0
166,1733.3333333333333,5460000,3150,3,2,1,0,0
167,1770.0,4956000,2800,3,2,0,0,1
168,1792.4528301886792,13300000,7420,4,2,0,1,0
169,1895.8333333333333,8645000,4560,3,2,1,0,0
170,1932.6086956521742,8890000,4600,3,2,1,0,0
171,1963.218390804598,4270000,2175,3,1,1,0,0
